metin,kategori
gençler cavcav geleneğiyle harcıyor gençlerbirliği kulübü saymanı arif ölmez kırmızı siyahlı kulüpte başkan i lhan cavcav ın yerleştirdiği gelenek doğrultusunda harcama yapıldığını belirtti gençlerbirliği kulübü saymanı arif ölmez kırmızı siyahlı kulüpte başkan i lhan cavcav ın yerleştirdiği gelenek doğrultusunda harcama yapıldığını belirterek futbolcu tanıtım harcaması veya makarna diyelim her zaman pazarlığımızı yapar maliyeti mümkün olduğunca azaltmaya çalışırız dedi başkent temsilcisi yönetim kurulu geçen yıl mayısta yapılan genel kuruldan sonra geçen 6 aylık zamanda gerçekleştirilen çalışmaları değerlendirmek ve kulübün 90 yılı nedeniyle planlanan etkinlikleri belirlemek üzere bir toplantı yaptı kırmızı siyahlı kulübün yönetim kurulu üyesi ve saymanı arif ölmez söz konusu toplantıda yönetim kurulu üyelerine 6 aylık faaliyetleri içeren rapor sundu yönetime sunulan raporu ve 6 aylık faaliyetleri değerlendiren başkent kulübü saymanı ölmez son derece faydalı bir süreç geçirdik kulüp olarak transfere ciddi meblağlar harcadık ancak bu sürede kulübe 4 milyonluk da bir kaynak sağladık diye konuştu harcamalar konusunda yapılan değişikliklerle kısa sürede kulübün giderlerini azaltmayı başardıklarını belirten ölmez gençlerbirliği nin bir geleneği var geçirdiğimiz kötü günlerden sonra başkanımız cavcav ın kulübe yerleştirdiği bir gelenek kulüple ilgili ne olursa olsun futbolcu tanıtım harcaması veya makarna diyelim her zaman pazarlığımızı yapar maliyeti mümkün olduğunca azaltmaya çalışırız ifadelerini kullandı başkan i lhan cavcav ın amacı yönetim olarak şu anda en önemli gündem maddelerinden birisinin gençlerbirliği ne sürekliliği olan ekonomik kaynaklar yaratmak olduğunu belirten arif ölmez şöyle devam etti başkanımız i lhan cavcav ın bir amacı var bu kulübe başkan olduğunda karşılaştığı manzara bir daha yaşansın istemiyor kurumsal ve geleceğini sürekli kaynaklarla garantiye almış bir kulüp haline gelelim istiyor bizlerin de daha önce yönetim kurullarında görev yapan arkadaşlarımız gibi bütün arzumuz gençlerbirliği ni daha iyi noktalara taşımak geçen 6 ayda iyi çalıştık ancak yapacak daha çok işimiz var öyle şeyler yapmalıyız ki gençlerbirliği nin sağlam ekonomik yapısı devam etsin ve kulüp borçlanmaya dayanan bir ekonomik yapıya yaslanmasın belki i stanbul takımlarının ihtiyacı yok arif ölmez kulüp olarak bu sezon farklı bir tanıtım çalışması yaptıklarını ve bunun da faydasını gördüklerini belirterek bugün insanlara ne türlü bir hizmet sunarsanız sunun onların ayağına gitmelisiniz belki i stanbul takımlarının buna ihtiyacı yok ama bizim var biz gençlerbirliği olarak bu sezon bazı alışveriş merkezlerinde kombinelerimizi ankaralılara ulaştırmaya çalıştık gelecek sezon bu uygulamaya çok daha ciddi bir şekilde devam edeceğiz ifadelerini kullandı satılan kombine bilet sayısıyla stadyuma gelen seyirci sayısı arasında paralellik olduğunu kaydeden ölmez ancak bu sayıları çok iyi analiz etmemiz gerekiyor yeni taraftar kazanmak istiyorsak örneğin maraton tribününün tamamını kombine bilete çeviremezsiniz stada maç günü gelen insanlar hangi tribünde karşılaşmayı izlemek istiyorsa bu olanağı kendilerine sunmalıyız bu nedenle kombine kart her tribün için uygun sayıda satışa sunulmalı değerlendirmesini yaptı gençlerbirliği bir dernek gelecek sezon için planlama yaparken bu yıl satılan kombine kadar maç günü satılan bilet sayısını da hesaba katacaklarını dile getiren arif ölmez gençlerbirliği nin kamuya yararlı bir dernek statüsünde olduğunu hatırlattı derneğin en önemli biriminin de futbol okulu olduğunu vurgulayan arif ölmez okula ilginin daha da artması için gerekli çalışmaların yapıldığını dönem ortalamasının 1200 1300 çocuk olduğunu kaydetti,spor
thy yle ilgili tartışmalara hamdi topçu dan yanıt türk hava yolları nda kabin ekibinin üniformalarında değişiklik yapılması ve içki servisinin kaldırılmasıyla ilgili tartışmalara en yetkili ağızdan yanıt geldi thy yönetim ve i cra kurulu başkanı hamdi topçu içki kararının tamamen ekonomik nedenlerle alındığını belirtirken kıyafetlerle ilgili de onları biz zaten geri çevirmiştik dedi türk hava yolları nda kabin ekibinin giysilerinin değişeceği haberleriyle başlayan tartışma iç ve dış hatlarda içki servisinin kaldırılmasıyla daha da büyüdü bu gelişmelerin thy nin muhafazakarlaştığı yönünde eleştiriler yoğunlaşırken thy yönetim ve i cra kurulu başkanı topçu hürriyet daily news genel yayın yönetmeni murat yetkin e konuştu yetkin in bu adımların bir laiklik tartışması başlattığı ve thy yönetimin ideolojik bir tavırla hareket ettiği yönündeki hatırlatması üzerine topçu kararların siyasetle alakası olmadığını tamamen ekonomik olduğunu söyledi benim bir görevim var o da thy yi en etkin ve kârlı şekilde işletmek kararlarımızı tamamen ekonomik değerlendirmelerle alıyoruz bakın 10 yıl önce işbaşına geldiğimizde thy nin cirosu 1 2 milyar dolardı 2012 sonu itibariyle 13 milyar dolar ocak 2013 te dış hatlar yolcu kapasitemizi yüzde 34 arttırarak 3 milyona ulaştırdık bu sayede türkiye nin dışarıda bilinen üç markasından birisi olduk diyen topçu söz konusu değişikliklerin thy nin 220 den fazla hattından sadece 20 sinde yaşandığını belirtti topçu yalnızca 20 kadar hattımızda ev sahibi ülkelerin hassasiyetleri ve duyarlılıklarını dikkate alıyor ama bunun karşılığında da avantajlar elde ediyoruz diye konuştu yolcumuzu üçe katladik bu hatlarda içki servisi yapan emirates gibi hava yolu şirketleri karşısında thy nin politika değişikliğine giderek yolcu sayısını ikiye hatta üçe katladığını söyleyen topçu uluslararası sivil havacılık çevrelerinde alkollü içki servisini tıpkı tütün gibi toptan kaldırma yönünde tartışmalar olduğunu da hatırlattı dünyanın hiçbir ülkesinde iç hatlar ekonomide içki servisi olmadığını belirten topçu neticede türkiye de en uzun uçuş 1 saat 15 dakika çoğunluğu 45 dakika yani içkiden mahrum kalınan süre bu kadardır dış hatlarda ise business class yolcusu yüzde 1 5 civarındadır onun da bir kısmı içmez ben business class ın yoğun olmadığı hatlarda onun yükünü neden bilet fiyatı olarak içmeyen yolculara bindireyim ekonomik olduğu müddetçe devam ederiz diye konuştu bunun yanı sıra havaalanlarında cip salonlarında içki servisinin devam ettiğine dikkat çeken topçu yola çıkmadan önce isteyen oradan da yararlanabilir i ran a gitmeden önce istiyorsa orada içebilir mesela i deolojik olsa bu hizmeti tamamen kaldırmamız lazımdı öyle bir şey yok dedi o kiyafetle uçakta hareket edi lmez tartışma yaratan kıyafetlerle de ilgili konuşan topçu o kıyafetleri zaten biz geri çevirmiştik o kıyafetle uçakta hareket edilmez o kumaş olmaz 350 gramlık kumaş çok ağır o fotoğraflar renk seçimi için herhalde çekilmişti kıyafet seçim süreci henüz tamamlanmış değil daha resmen yönetim kuruluna sunum dahi yapılmış değil dedi bu tür haberlerin thy nin uluslararası alandaki küçük rakiplerine yaradığını da söyleyen topçu büyükler zaten gerçekleri ve thy nin kalitesini biliyor politikalarımızı olduğu gibi koruyacağız diye konuştu,genel
madrid e rağmen yola devam şampiyonlar ligi c grubu nda son haftaya 3 sırada giren hollanda ekibi ajax real madrid e deplasmanda 4 1 yenilmesine rağmen grubu 3 sırada tamamladı ajax yoluna uefa avrupa ligi nde devam edecek maça iyi başlayan real madrid gruptaki ikinciliğini garantilemesine rağmen rakibi karşısında erken bir gol buldu karim benzema modric in harika pasıyla ajax savunmasının arkasına hareketlendi topu istediği gibi kontrol edemeyen benzema kale sahası önündeki ronaldo ya çıkardı cristiano ronaldo nun sert vuruşu da real madrid i 13 dakikada 1 0 öne geçirdi golden sonra da real madrid oyunun kontrolünü rakibin vermedi eflatun beyazlılar 28 dakikada skoru 2 0 yaptı modric in attığı güzel pasa hareketlenen callejon vuruşunda takımının 2 golüne imza attı karşılaşmanın ilk yarısı real madrid in 2 0 lık üstünlüğü ile sonuçlandı i kinci yarının başında ise kaka takımının 3 golünü attı 49 dakikada aldığı topla ajax ceza sahasına doğru hareketlenen brezilyalı yıldız yaklaşık 20 metreden sol ayağıyla çok güzel vurdu ve maçta durumu 3 0 a getirdi konuk takımda boerrigter 59 dakikada skoru 3 1 e getirse de maçın kalan dakikalarında real madrid in üstün oyunu devam etti i spanyol ekibi 88 dakikada callejon ile durumu 4 1 e getirdi kalan dakikalarda başka gol olmadı ve real madrid ajax ı 4 1 le evine yolladı bu sonuca rağmen ajax manchester city nin almanya da puan alamaması nedeniyle grubu 3 sırada tamamladı,spor
başbakan erdoğan bu toprakların özüne ihanet başbakan erdoğan bir ırkın bir milletin bir ulusun diğerine üstünlüğünü savunmak en başta bu toprakların özüne ihanettir dedi marmara üniversitesi nin haydarpaşa kampusu nda düzenlenen üniversitenin 130 kuruluş yıl dönümüne katılan başbakan recep tayyip erdoğan a fahri doktora unvanı verildi başbakan erdoğan buradaki konuşmasında tbmm genel kurulu ndaki sözleri nedeniyle tartışmaların odağında olan chp genel başkan yardımcısı birgül ayman güler e göndermede bulundu erdoğan bir ırkın diğerine bir milletin diğerine bir ulusun diğerine üstünlüğünü savunmak en başta bu topraklara karşı saygısızlıktır en başta bu toprakların özüne ihanettir dedi başbakan erdoğan konuşmasında salı günü tbmm de ak parti grup toplantısı nda asabiyet ifadesini kullandığını hatırlatarak tabii birileri herhangi bir sözlüğe bakma ihtiyacı hissetmeden bu çok önemli kavramı öfke gibi sinirlilik gibi anlayarak adeta şecaat arz ederken sirkatin söylediler adeta cahilliklerini ortaya koydular dedi asabiyetin 14 üncü yüzyılda i bn i haldun un kullandığı ve yüzyıllar boyunca da konuşulan tartışılan geliştirilen bir kavram olduğunu anlatan erdoğan kavramın özünün daha önce de ifade ettiği gibi şeytanın beni ateşten yarattın onu çamurdan diyerek kökene vurgu yaparak kökeniyle ilgili kibirlenerek isyan etmesine dayandığını söyledi bu toprakların özüne ihanet başbakan erdoğan avrupa da 1930 ve 1940 lı yıllarda ırkçılık ve faşizm yükselirken türkiye de bu yönde bazı denemelerin ve girişimlerin olduğunu ama bunların asla başarıya ulaşamadığını ve kabul görmediğini ifade etti başbakan recep tayyip erdoğan şöyle konuştu bizi biz yapan bizi şekillendiren toplumsal hayatımızı aile hayatımızı şehir köy hayatımızı çerçevelendiren hangi kaynağa bakarsanız bakın orada ırk ayrımını göremezsiniz ahmet yesevi den tutun mevlana ya kadar yunus emre den tutun hacı bektaş a kadar pir sultan abdal dan fuzuli ye ahmed i hani den mehmet akif e kadar bu toprakların hamurunu yoğuran hiçbir kaynakta ayrımcılık yoktur bir ırkın diğerine bir milletin diğerine bir ulusun diğerine üstünlüğünü savunmak en başta bu topraklara karşı saygısızlıktır en başta bu toprakların özüne ihanettir parlamentoda bir milletvekili sanıyorum kariyeri de var ama ulus ile millet kavramını birbirine karıştırıyor ülkemizdeki türk için kalkıyor millet diğeri için ulus diyor i çerikten haberi yok birisi öz türkçe diğeri arapça,guncel
i şte f bahçe nin muhtemel rakipleri uefa avrupa ligi nde fırtına gibi esen fenerbahçe deplasmanda marsilya yı 1 0 yenerek grubunu lider olarak bitirmeyi garantiledi ve son 32 ye kaldı fenerbahçe yle birlikte avrupa ligi nde dün gece birçok takım da bir üst tura çıkmayı garantilerken şampiyonlar ligi nden gelmesi muhtemel takımlarla sarı lacivertlilerin rakipleri şekillenmeye başladı uefa da son 32 yi garantileyenler levante racing genk plzen bordeaux napoli dnipro newcastle united lazio atlético madrid hannover bayer leverkusen metalist kharkiv lyon sparta prak rubin kazan inter anzhi steaua bükreş şampiyonlar ligi nden gelenler dinamo kiev olimpiyakos zenit veya anderlecht ajax veya m city chelsea veya juventus bate borisov celtic veya benfica,spor
domates ye inme geçirme finlandiya da yapılan bir araştırmaya göre antioksidan likopen maddesi bakımından zengin olan domates inme riskini azaltabiliyor kandaki likopen seviyesi ölçülen katılımcıların sağlık durumu ortalama 12 yıl izlendi araştırma süresince kanındaki likopen seviyesi en düşük olan 258 kişiden 21 i likopen seviyesi en fazla olan 259 kişiden sadece 11 i inme geçirdi,saglik
davutoğlu ayağa kalk somali türkiye nin dışişleri bakanı mı somali nin milli kahramanı mı ahmet davutoğlu na somali de gösterilen iltifat insana bu soruyu sorduruyor somali cumhurbaşkanı hasan şeyh muhamud davutoğlu nu kabulünde yaptığı konuşmaya bugün bizim için büyük bir gün diyerek başladı ardından başbakan erdoğan ve dışişleri bakanı davutoğlu nun geçen yıl aileleriyle beraber somali yi ziyaret etmelerinin ülke tarihinde bir dönüm noktası olduğunu somali de iç savaşın tavan yaptığı ve salgın hastalıkların kol gezdiği bir dönemde gerçekleşen bu ziyaretin diğer ülkeleri de somali yle yakından ilgilenmek için cesaretlendirdiğini söyledi fakat şöyle bir şerh düşmeden de edemedi sizin büyükelçiniz sayın kâni torun mogadişu nun merkezinde halkın içinde yaşıyor ti ka ve sivil yardım kuruluşlarınızın elemanları da halkla iç içe başka ülkelerin temsilcileri daha ziyade şehir merkezine uzak yerlerde kalıyorlar i nşaallah türklerin cesareti zamanla onlara da sirayet eder başkent mogadişu nun güvenli bir şehir olduğunu şimdilik söyleyemiyoruz hükümete bağlı kuvvetler ve afrika birliği askerleri ile şebab milisleri arasındaki savaş zaman zaman başkente de taşınıyor bu yüzden somali yi ziyaret eden yabancı devlet adamları somalili yetkililerle mogadişu havaalanında görüşüp hiç vakit kaybetmeden riske girmeden ülkelerine dönmeyi tercih ediyorlar şehre girmeye şu veya bu sebeple mecbur kalanlar da zırhlı araçlarla hareket ediyor o araçların içinde bile çelik yelek giyip kask takıyorlar davutoğlu nu havaalanından alan araba normal bir arabaydı çelik yelek kask aşırı koruma filan da yoktu bir zamanların meşhur turistik lido plajında yeni türkiye büyükelçiliği inşaatı için tahsis edilen devasa araziyi bakanla birlikte gezerken mogadişulu bir dostumuz kulağıma eğiliğ buralarda türk yetkililerinden başka hiçbir beyaz devlet adamının böyle elini kolunu sallayarak rahat rahat dolaşamadığını söyledi davutoğlu na bunu anlattığımda gülümseyerek dedi ki bizim de çelik yeleğimiz kaskımız var abdest alıp öyle çıktık konvoy halinde parlamento binasına giderken araçlardaki türkiye bayrağını gören halk sevgi gösterilerinde bulundu o sevgiyi adeta elle tutulur bir cisim olarak davutoğlu nu karşılayan meclis başkanı muhammed i smail cevari ve milletvekili arkadaşlarında da gördük cevari davutoğlu nu hoşgeldiniz allah a şükür ki türkiye var diyerek karşıladı bir milletvekili büyük bir coşkuyla somali türkiye dir türkiye somali dir diye seslendi i lk defa yabancı bir dışişleri bakanı yabancı kelimesi ne kadar da eğreti duruyor somali meclisi nde milletvekillerine hitap edecekti yoksulluktan kırılan genel kurul salonuna müthiş bir mutluluk ve heyecan hakimdi kürsüye çıkan davutoğlu konuşmasına tıpkı kendisini takdim eden cevari gibi besmele hamdele ve salavatla başlayınca mutluluk ve heyecan ikiye katlandı alkışlarla sık sık kesilen konuşmasında özetle şunları söyledi davutoğlu büyük devlet olmak için gerekli olan bazı şartlar var tarih coğrafya insan kaynağı sizin gözkamaştırıcı bir tarihiniz var ve dünyanın en stratejik konumlarından birinde bulunuyorsunuz elbette ki tarihin ve coğrafyanın hakkını ancak kalifiye insanlar verebilir ve somali onlara da sahip amerika da avrupa da görüştüğümüz somali diasporası temsilcilerinin entelektüel birikimlerinden ve mesleki yeteneklerinden çok etkileniyoruz asayiş sağlandığında bunlar bütün birikimlerini somali ye taşıyacak veya bulundukları yerlerden somali nin kalkınmasına destek vereceklerdir bunu başarabilirsiniz güvenlik sorununu çözüp ve imkânlarınızı hakkıyla değerlendirip müthiş bir kalkınma hamlesi yapabilirsiniz i mkânlarınızı siz değerlendirmezseniz başkaları değerlendirmeye kalkar diniziniz bir mezhebiniz bir hepiniz aynı dili konuşuyorsunuz öyle olmasaydı bile başarabilirdiniz fakat öyle olduğuna göre çok daha kolay başarabilmelisiniz mensup olduğunuz kabileler ve aileler sizin için elbette önemli olacak ama unutmayın ki ümmet tektir hepiniz kardeşsiniz kabilenizi ve ailenizi toplumsal kimliğinizin önüne geçirmemelisiniz ayrılığı gayrılığı aşın kendinize güvenin ve şaha kalkın biz inşallah daima yanınızda olacağız 16 ıncı yüzyılda mir ali bey osmanlı devleti nin emriye kolonyalistlere karşı somali nin yardımına koşmuştu biz de onun torunları olarak yardımınıza koştuk dün yanınızdaydık bugün yanınızdayız yarın da yanınbızda olacağız inşallah kıyamete kadar türkiye nin somali deki faaliyetlerini somut olarak yarın anlatacağım nasipse,genel
chavez siz seçim baskısı venezuela nın karizmatik lideri hugo chavez in görevine dönüp dönemeyeceği merak konusu olmaya devam ederken muhalefet başkanlık seçiminin yenilenmesini istiyor seçimin yenilenmesi halinde muhalefetin chavez in eksikliğini fırsat bilip bu sefer yarışı kazanabileceği yorumları yapılıyor chavez in halefi olarak gösterdiği nicolas maduro nun ise chavez in yerini dolduramayacağı görüşü ağırlıkta geçen yıl ekim ayındaki seçimde üçüncü kez devlet başkanı seçilen 58 yaşındaki chavez in kanser hastalığı nedeniyle bir dizi ameliyat geçirmesi ve 10 aralık tan bu yana medyaya görüntü vermemesi venezuela da muhalefetle iktidar arasındaki tartışmaların dozunu artıyor yeni dönem için 10 ocak ta yemin etmesi gereken chavez için parlamentoda çıkarılan karar yüksek mahkeme tarafından da kabul edilmiş ve başkanın ileri bir tarihte de olsa bu prosedürü yerine getirebileceği açıklanmıştı muhalefet sağlik bi lgi leri ni i sti yor ancak anayasanın başkanın ölmesi ya da kalıcı biçimde göreve ehliyetini yitirmesi halinde meclisin ülkeyi yeni 30 gün içinde yeni bir seçime götürmesini öngören 233 maddesine vurgu yapan muhalefet duruma tepkili chavez in göreve dönemeyeceğinden emin olmak için sağlık durumuyla ilgili tüm bilgilerin şeffaf biçimde paylaşılmasını talep eden muhalefet ülkenin yeni liderinin seçimle belirlenmesi gerektiği halde chavez in halefini tayin ederek iktidarını sürdürmeye çalıştığı görüşünde chavez in yakın çevresi başkanın sağlık durumunun görevine dönmesine kesin olarak mani olacağı yönündeki iddiaları çürütmek için zaman zaman sağlık durumundaki ilerlemeleri kamuoyuna duyurmaya devam ediyor ancak chavez in görüntüsünün verilmemesi bu mesajların inandırıcılığını ister istemez azaltıyor halefleri yeri ni doldurabi li r mi chavez in koltuğuna dönmesi halinde dahi eski performansını gösterebilmesine şüpheyle bakılıyor bu nedenle de küba ya giderken halefi olarak gösterdiği devlet başkanı yardımcısı nicolas maduro nun ve onunla rekabet içinde olduğu yönünde haberlere konu olan meclis başkanı diosdado cabello nun durumu önem kazanıyor venezuela yı yakından izleyen ve bu alanda akademik çalışmalar yürüten ankara üniversitesi latin amerika çalışmaları araştırma ve uygulama merkezi lamer müdürü prof dr mehmet necati kutlu ise bu isimlerin chavez den boşalabilecek yeri doldurma ihtimalinin zayıf olduğu görüşünde maduro nun cabello ile karşılaştırıldığında daha güçlü bir aday olduğuna işaret eden kutlu çekincesini ise maduro her ne kadar venezuelalılar için daha fazlasını ifade etse de chavez in yokluğunu sadece geçici bir süre için idame ettirebilir hem uluslararası arenada da hem de ulusal düzlemde maduro asla bir chavez olamaz sözleriyle ifade ediyor kutlu maduro nun abd ve batı sistemine bakışının chavez ile paralel olmasına rağmen chavez taraftarlarının kendisini aynı derecede sahiplenmeyeceği maduro nun devlet başkanlığına gelse dahi görevinde orta ve uzun vadede başarılı olamayacağı iddiasında cabello nun chavez in siyasi programının ve yönetiminin her zaman içinde yer almış bir isim olduğunu hatırlatan kutlu yine de cabello halk tarafından maduro kadar bile destek görmeyecektir cabello silahlı kuvvetlere dayanan geçmişiyle chavez in daha yakın bir çalışma arkadaşı olsa da maduro kadar popülaritesi yok diyor muhalefet eksi kli ği nden i sti fade edi yor chavez in bir türlü koltuğuna dönememesi muhalefetin elini her geçen gün güçlendiriyor ocak sonuna kadar chavez den kesin bir haber alınamaması halinde önümüzdeki aydan itibaren venezuela da muhalefetin tepkisinin önemli ölçüde artması bekleniyor venezuela da muhalefetin en güçlü ismi henrique capriles in son seçinde chavez in sadece 9 puan gerisinde kaldığını ve karizmatik liderin iktidarının ilk kez sarsıldığını hatırlatan venezuelalı analistler chavez siz bir seçimde capriles in şansının çok daha artacağının altını çiziyor bu görüşe katılan prof dr kutlu chavez in sağlığına kavuşamaması ve seçimlere maduro nun girmesi halinde muhalefetin şansının bu sefer iktidardan fazla olabileceği değerlendirmesini yapıyor muhalefet seçim için zaman bu zamandır görüşünde bu nedenle seçimler kıran kırana geçecektir diyen kutlu chavez in olmamasının yaratacağı psikolojik etkinin seçimlerde rüzgarı tersine çevirebileceğine işaret ediyor,dunya
atatürk havalimanı nda tuhaf olay atatürk havalimanı nda polis telsizini alan genç peşinden koşturdu atatürk havalimanı b kapısı ndaki polis dinlenme odasına giren ve şarjdaki polis telsizini alan 29 yaşındaki g b koşarak aprona kaçmaya başladı türk hava yolları hangar binası önünde yakalanan şahıs gözaltına alındı dün gece saat 23 00 sıralarında yaşanan olayda atatürk havalimanı b kapısı na gelen g b 29 polis noktası önünde kısa bir süre bekledi odada o sırada kimsenin olmadığını gören şahıs içeriye girerek şarjda bulunan polis telsizini aldı bir bardak da su içerek odadan ayrıldı sabikasi bulunmuyor polis telsizini beline takan şahıs güvenlik kontrolü yerine aprona araç giriş çıkışların yapıldığı noktaya doğru koşmaya başladı bu sırada özel güvenlik görevlisi tarafından fark edilen g b bir anda durdu özel güvenlik görevlisinin sen kimsin sorusu üzerine g b ben polisim dedi güvenlik görevlisinin kimliğini istemesi üzerine g b aprona doğru koşmaya başladı görevliler durumu polise bildirdi şahıs kısa bir kovalamacanın ardından atatürk havalimanı apron tarafında bulunan hangar binası önünde yakalandı gözaltına alınan g b nin yapılan kimlik kontrolünde sabıkası bulunmadığı öğrenildi,genel
zirveyi korumak istiyorlar lider kayseri erciyesspor kartalspor ile yapacağı maçın hazırlıklarına devam etti teknik direktör osman özköylü yönetiminde hacı boydak tesisleri nde yapılan antrenmana sakatlıkları bulunan ufukhan bayraktar hüseyin yoğurtçu ve kaleci onur bilgin dışındaki tüm futbolcular katıldı isınma hareketleriyle başlayan antrenmanda koşunun ardından topla çalışma yapıldı antrenmandan önce gazetecilere konuşan özköylü kartalspor maçını kazanarak ligin zirvesindeki yerlerini korumak istediklerini belirtti i stanbul da kendilerini zorlu bir maçın beklediğini dile getiren özköylü şöyle devam etti kartalspor deplasmanı her zaman zorlu olmuştur kartalspor bu ligin en az gol yiyen takımlarından biri özelikle sahasının küçük olması sebebiyle rakip üzerinde etki kurabilen bir takım bu anlamda çok dikkatli olmamız gerekiyor çok zor bir deplasman belki bizim açımızdan ligin en kritik maçlarından birini oynayacağız özelikle üst üste ikinci deplasmanı oynayacak oluşumuz bunu etkileyecek i yi bir kadroya sahip olduklarını ifade eden özköylü biz güçlü bir takımız arkadaşlarımızın da gayretiyle hep beraber tüm zorluklara şimdiye kadar göğüs gerdik bundan sonra da germeye devam edeceğiz başarılı olmak için yolumuza emin adımlarla devam etmeyi arzu ediyoruz bundan önce olduğu gibi bundan sonra da en iyisini yapacağız i nşallah kartalspor deplasmanından 3 puanla ayrılmak için tüm gücümüzü ortaya koyacağız takımıma güveniyorum i nşallah kayseri ye güzel bir sonuçla döneriz diye konuştu,spor
abd den japonya ya erken uyarı sistemi tokyo ve washington ın nükleer denemeler yapan kuzey kore ye karşı hava savunmasını güçlendirmek için japonya nın güneyindeki kyoto yakınlarına erken uyarı sistemi yerleştirmeyi planladığı bildirildi kamu haber ajansı kyodo nun haberine göre erken uyarı sistemi kyoto nun kuzeyindeki hava savunma üssüne yerleştirilecek kyodo kuzey kore nin guam ya da hawaii yi hedef seçmesi halinde füzelerin japonya nın orta bölgelerinden geçeceği düşünüldüğü için kyoto nun seçildiğini yazdı x band tipi radar daha önce de ülkenin kuzeyindeki aomori ye yerleştirilmişti japonya başbakanı şinzo abe ile abd başkanı barack obama geçen cuma günü washington da yaptıkları görüşmede radarın yerleştirilmesi için beraber çalışacaklarını kaydetmişti komünist kuzey kore yönetimi son zamanlarda nükleer denemeler yapmıştı ayrıca bir füze denemesi de gerçekleştirmişti kuzey kore abd yi resmen nükleer hedef olarak da ilan etmişti,dunya
arkas spor ilk mağlubiyetini aldı voleybolda avrupa erkekler şampiyonlar ligi f grubu nda arkas spor belçika dan noliko ya 3 1 yenilerek gruptaki ilk mağlubiyetini aldı kötü başladığı birinci setin sonunda üstünlüğü ele geçiren arkas spor ilk seti 25 22 kazandıktan sonra ikinci seti 25 16 kaybetti mavi beyazlı ekip üçüncü sette 24 21 üstünlük kurmasına rağmen seti 27 25 yenik tamamladı son sette arkas spor a 25 17 üstünlük kuran belçika temsilcisi karşılaşmayı 3 1 galip bitirdi mavi beyazlı ekibin son transferi simac da karşılaşmada forma giydi salon atatürk voleybol hakemler zdravko zdraveski makedonya boris skudnik slovenya arkas spor hansen burutay hakkı agamez perrin simac hasan mustafa ramazanoğlu noliko klinkenberg parkinson egleskalns wounembaina van de voorde valkiers derkoningen rosiers caldwell maan lorsheijd setler 25 22 16 25 25 27 17 25 süre 104 dakika 26 22 31 25,spor
